Date,SCHW_BK,PLD_AMT,TM_KMX,KO_PEP,COST_DG,PRU_LNC,ALL_GL
2010-08-23,0.0,0.0,0.0,1.0557811392678036e-155,7.831468106585017e-77,0.0,0.0
2010-08-24,8.932350410255788e-30,3.7399528872204926e-54,1.992866507800668e-36,1.1266298097594999e-11,4.050177563515767e-09,4.14593093530889e-81,2.397860936109632e-24
2010-08-25,9.833458236643664e-30,2.955358679242771e-63,1.6491969529069743e-35,1.847417888303155e-13,8.483961513641376e-09,3.4702294044339233e-110,9.023803831377368e-21
2010-08-26,2.008603425618812e-27,7.0352163998226044e-68,1.288949141529529e-33,4.004658948997939e-15,4.913042058827611e-08,1.3689684529466536e-80,3.751363131993192e-14
2010-08-27,3.640416723018255e-25,4.765394924671997e-70,5.521703039183297e-31,1.5297687307888771e-15,3.1551895485283515e-07,7.099465276140306e-132,1.271542489594255e-14
2010-08-30,3.57716882782328e-22,3.201544769395174e-74,1.174080600569198e-28,2.256397459670851e-16,3.203938077467967e-06,1.4241446574156546e-129,1.3911021136094713e-13
2010-08-31,1.696683913084641e-18,5.5659775688430455e-81,1.6610748582944872e-25,6.386609316444662e-17,8.169513277206107e-05,1.1319700391210292e-124,2.9888418160822083e-13
2010-09-01,2.367632710419111e-17,1.7183802659377325e-81,1.4717716903685849e-24,7.668447261802259e-17,0.0017823572384884176,5.232119610772713e-125,7.13645704305496e-13
2010-09-02,6.303276561448046e-15,1.568807543078907e-80,4.004638270790232e-30,1.9016260309676516e-16,0.006728602959602577,1.2889015776659452e-104,1.3813652400235664e-09
2010-09-03,2.8622690214656494e-12,4.613339767773953e-77,2.634026018114708e-29,1.964976110927472e-15,0.016232973958946986,1.2442536032804184e-79,4.648044354412569e-10
2010-09-07,1.7927267195665124e-09,2.314282177162344e-71,3.488932108104586e-21,4.1998286243982287e-14,0.03499457562130195,2.0184856002327617e-84,2.82721727501679e-11
2010-09-08,0.0003731585432086274,5.961946112182371e-65,3.460495600834985e-33,1.677481946025506e-12,0.06768904528138377,3.2078522812430657e-80,3.995882087275563e-12
2010-09-09,0.3449338263538701,2.0621588117390088e-57,2.782295903593061e-41,1.4966957266661102e-10,0.1506489779646342,9.19001062652588e-62,1.1226926834504415e-12
2010-09-10,0.8694274942551803,8.766798121885073e-47,1.4127174114577083e-43,1.5488851109859187e-06,0.3727070283383209,8.438083337892817e-62,3.7924785361403797e-13
2010-09-13,0.9737662712252008,1.7683431046571207e-35,1.9342773227328403e-48,0.012558464335559684,0.568533579310831,2.4160598028499705e-61,3.988671645554789e-14
2010-09-14,0.9945043121518016,4.4230866710179095e-26,5.876062949556319e-49,0.37896928099386834,0.731217950229424,3.705769856957323e-59,3.600775017726344e-15
2010-09-15,0.9987005913927502,9.738131605552411e-20,2.790508479671902e-48,0.464270764602472,0.8354966984624065,9.322053453101626e-71,1.1359403275799559e-14
2010-09-16,0.999473222720282,4.576318895249817e-17,5.574133713998099e-47,0.5077481407495603,0.89212598691518,9.962366474693349e-85,2.343571336465178e-16
2010-09-17,0.9994986284657034,4.560253881651032e-14,8.695883226182933e-41,0.5297128214832667,0.924754119426015,1.2066576925281183e-87,1.6688643874672804e-13
2010-09-20,0.9993722088887897,9.200750945328903e-13,2.907330388564927e-38,0.5497516706671219,0.9502887132218313,5.218129130232248e-87,1.4969110052312844e-12
2010-09-21,0.9990637967176087,1.5537660488705217e-16,4.903984175122962e-34,0.5697004440513554,0.9716135424057037,1.6620749330381145e-102,2.5106792099659914e-13
2010-09-22,0.9990148263001839,7.179149799563565e-17,2.0839652092258546e-49,0.60241507029127,0.9739953515632984,2.138609571170034e-117,1.0765893222411468e-10
2010-09-23,0.999132113969796,1.419065910801331e-17,7.927359035812081e-51,0.6493434175101938,0.962762302871276,5.420523076424633e-95,4.715275844965033e-10
2010-09-24,0.9998227912274102,7.398124143485435e-17,4.038490930484966e-49,0.734370860482604,0.9032140091066264,1.2169905573673764e-91,4.113320399784584e-09
2010-09-27,0.9999391172003661,2.457462712102236e-17,2.589657637953806e-48,0.9600157263079517,0.40648240671644464,2.2978226795022227e-44,1.0203417125907498e-08
2010-09-28,0.9999568977449309,7.950432901071482e-18,1.6885595062262117e-46,0.9937340426386855,0.15925922726083036,3.9032461819523076e-45,3.420483975562475e-10
2010-09-29,0.9999627952392872,2.7721858226692774e-18,6.783932428484567e-44,0.9989317949444524,0.07074761881888472,3.9329258523196814e-44,1.667511757983024e-11
2010-09-30,0.9999609083207691,4.803234935378112e-18,5.835403775946663e-44,0.9997804210873271,0.03642109685222711,5.612968325809806e-57,3.0724055993590785e-11
2010-10-01,0.9999231820841222,1.1752547521757987e-17,3.584443010375844e-39,0.9998057299607701,0.02381602923580694,5.3648433211513426e-70,2.969859473678114e-11
2010-10-04,0.9997572859496513,8.373082297722934e-19,1.1819597335819028e-38,0.9991829415362304,0.018703263652744245,1.1688296327374697e-70,1.562345570626356e-11
2010-10-05,0.9995295078130992,1.0839443385304676e-16,2.5129231220696166e-42,0.9921757371666478,0.014936221785880721,8.912286088481894e-71,2.2695156846324574e-14
2010-10-06,0.999361395670741,4.4152692727933293e-16,7.116193279158269e-36,0.9174509588650825,0.013073509465676135,1.5029040828559346e-70,1.128599431852539e-14
2010-10-07,0.9988227906197644,2.0863812547871395e-16,2.0004190281934095e-26,0.06283159947256431,0.01028817905584237,7.801686256784079e-71,2.288775142371993e-15
